priority,category,stageId,difficulty,word,meaning,currentEmoji,reason
"A make image first","people_body","people_body_stage_04","stage_04","waitress","女服務生","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","well","好的, 健康地","🙂","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_02","stage_02","work","工作","🧑‍💼","Uses category fallback emoji, not a word-specific visual."
"A make image first","people_body","people_body_stage_03","stage_03","worker","工作者","🧑‍💼","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","ball","球","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_04","stage_04","bookstore","書店","📚","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","car","車子","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","christmas","聖誕節","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_04","stage_04","clothes","衣服","👕","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_04","stage_04","dragon boat festival","端午節","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_02","stage_02","drive","開車","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","easter","復活節","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","fast","快速的（地）","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_02","stage_02","halloween","萬聖節","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_01","stage_01","here","這裡","📍","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","moon festival","中秋節","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_05","stage_05","paint","用顏料畫、刷油漆","🎨","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","play","玩","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","pocket","口袋","👕","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_05","stage_05","restaurant","餐廳","🍽️","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","river","河流","🌊","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_02","stage_02","sea","大海","🌊","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","shirt","襯衫","👕","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_03","stage_03","slow","慢的","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_05","stage_05","soccer","足球 (US; 美式英語)","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_05","stage_05","sport","運動","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_05","stage_05","t-shirt","T 恤","👕","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_04","stage_04","there","那裡","📍","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_04","stage_04","turn","轉彎","🚗","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_02","stage_02","wear","穿、戴","👕","Uses category fallback emoji, not a word-specific visual."
"A make image first","places_play","places_play_stage_02","stage_02","win","贏","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_easy","easy","art","美術、藝術","🎨","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_easy","easy","ask","問","📚","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_medium","medium","library","圖書館","📚","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_easy","easy","pe","體育（課）","⚽","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_medium","medium","ruler","尺","📏","Uses category fallback emoji, not a word-specific visual."
"A make image first","school_words","school_words_medium","medium","spell","拼寫、用字母拼","🔤","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_04","stage_04","我","代","⭐","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_07","stage_07","again","再一次、又一次","⭐","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_07","stage_07","always","總是、永遠","⭐","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_01","stage_01","at","在(某處)、在(時刻)","📍","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_07","stage_07","away","離開","⭐","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_01","stage_01","easy","簡單的","🙂","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_07","stage_07","exciting","令人興奮的","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_02","stage_02","fun","有趣的","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_02","stage_02","fun","樂趣","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_04","stage_04","its","它的、牠的","🐾","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_05","stage_05","nice","令人愉快的、宜人的","🙂","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_05","stage_05","our","我們的","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_05","stage_05","party","派對","🎉","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_08","stage_08","sometimes","有時候","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_09","stage_09","their","他們的","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_09","stage_09","them","他們(受詞)","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_09","stage_09","they","他們","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_06","stage_06","us","我們(受詞)","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_09","stage_09","usually","通常","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_03","stage_03","we","我們","👪","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_06","stage_06","when","何時...","🕒","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_06","stage_06","where","在哪裡...","📍","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_07","stage_07","word","字","🔤","Uses category fallback emoji, not a word-specific visual."
"A make image first","useful_words","useful_words_stage_09","stage_09","young","年輕的","🧒","Uses category fallback emoji, not a word-specific visual."
"B abstract/adjective","adventure_animals","adventure_animals_easy","easy","cold","寒冷的","❄️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","adventure_animals","adventure_animals_easy","easy","cool","涼爽的","🌬️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","adventure_animals","adventure_animals_easy","easy","hot","熱的","🔥","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","adventure_animals","adventure_animals_easy","easy","wet","潮濕的","💧","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","colors_sizes","colors_sizes_easy","easy","big","大的","⬆️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","colors_sizes","colors_sizes_easy","easy","heavy","重的 (物品)","🏋️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","colors_sizes","colors_sizes_easy","easy","light","輕的","🪶","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","colors_sizes","colors_sizes_easy","easy","short","短的","↕️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","colors_sizes","colors_sizes_easy","easy","small","小的","⬇️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","daily_food_home","daily_food_home_stage_02","stage_02","clean","清理","🧼","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","daily_food_home","daily_food_home_stage_02","stage_02","clean","乾淨的","🧼","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","people_body","people_body_stage_01","stage_01","cold","感冒","🤧","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","people_body","people_body_stage_02","stage_02","sick","生病的","🤒","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","people_body","people_body_stage_03","stage_03","tired","疲累的","😪","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","places_play","places_play_stage_03","stage_03","right","右邊","➡️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_04","stage_04","angry","生氣的","😠","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_01","stage_01","bad","不好的、壞的","👎","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_01","stage_01","busy","忙碌的","🏃","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_04","stage_04","close","關","🚪","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_01","stage_01","cool","清涼的","🧊","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_01","stage_01","cute","可愛的","😍","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_07","stage_07","different","不一樣的","🔀","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_04","stage_04","dirty","髒的","🧼","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_02","stage_02","good","好的","👍","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_04","stage_04","happy","開心的、高興的","😊","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_02","stage_02","hard","困難的","🧩","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_04","stage_04","heavy","重的 (人)","🏋️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_02","stage_02","hot","燙的","🔥","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_03","stage_03","new","新的","✨","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_03","stage_03","old","1. 年紀、年齡；2. 老的","👴","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_05","stage_05","open","開","🚪","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_08","stage_08","right","對的","✅","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_03","stage_03","sad","傷心的、難過的","😢","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_06","stage_06","short","矮的","↕️","State/adjective; needs a clear scene image if used in picture quiz."
"B abstract/adjective","useful_words","useful_words_stage_03","stage_03","wet","濕的","💧","State/adjective; needs a clear scene image if used in picture quiz."
