id,word,meaning,zhuyinText,zhuyinCharsJson,partOfSpeech,sourceCategory,appCategory,appCategoryZh,difficulty,level,stageId,sentence,emoji,enabledFor,spellingEnabledFor,source,notes
others_hard_always_001,always,總是、永遠,ㄕˋ   ,"[{""char"": ""總"", ""ruby"": ""ㄕˋ""}, {""char"": ""是"", ""ruby"": """"}, {""char"": ""永"", ""ruby"": """"}, {""char"": ""遠"", ""ruby"": """"}]",副詞,其他副詞,others,其他,hard,3,others_hard,"I know the word ""always"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音需人工確認
determiners_easy_an_001,an,一個,ㄧ ㄍㄜˋ,"[{""char"": ""一"", ""ruby"": ""ㄧ""}, {""char"": ""個"", ""ruby"": ""ㄍㄜˋ""}]",冠詞,冠詞/限定詞,determiners,冠詞/限定詞,easy,1,determiners_easy,"I know the word ""an"".",🔤,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
conjunctions_easy_and_001,and,和,ㄏㄜˊ,"[{""char"": ""和"", ""ruby"": ""ㄏㄜˊ""}]",連接詞,連接詞,conjunctions,連接詞,easy,1,conjunctions_easy,"I know the word ""and"".",🔗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
traits_medium_angry_001,angry,生氣的,ㄕㄥ ㄑㄧˋ ㄉㄜ,"[{""char"": ""生"", ""ruby"": ""ㄕㄥ""}, {""char"": ""氣"", ""ruby"": ""ㄑㄧˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,個性/特點,traits,個性/特點,medium,2,traits_medium,"I know the word ""angry"".",😊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
animals_hard_animal_001,animal,動物,ㄉㄨㄥˋ ㄨˋ,"[{""char"": ""動"", ""ruby"": ""ㄉㄨㄥˋ""}, {""char"": ""物"", ""ruby"": ""ㄨˋ""}]",名詞,動物/昆蟲,animals,動物,hard,3,animals_hard,"I know the word ""animal"".",🐶,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
school_medium_answer_001,answer,回答,ㄏㄨㄟˊ ㄉㄚˊ,"[{""char"": ""回"", ""ruby"": ""ㄏㄨㄟˊ""}, {""char"": ""答"", ""ruby"": ""ㄉㄚˊ""}]",動詞,學校,school,學校,medium,2,school_medium,"I know the word ""answer"".",📚,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
foods_easy_apple_001,apple,蘋果,ㄆㄧㄥˊ ㄍㄨㄛˇ,"[{""char"": ""蘋"", ""ruby"": ""ㄆㄧㄥˊ""}, {""char"": ""果"", ""ruby"": ""ㄍㄨㄛˇ""}]",名詞,食物/飲料,foods,食物/飲料,easy,1,foods_easy,"I know the word ""apple"".",🍎,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
time_easy_april_001,April,四月,ㄙˋ ㄩㄝˋ,"[{""char"": ""四"", ""ruby"": ""ㄙˋ""}, {""char"": ""月"", ""ruby"": ""ㄩㄝˋ""}]",名詞,時間,time,時間,easy,1,time_easy,"I know the word ""April"".",🕒,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
body_easy_arm_001,arm,手臂,ㄕㄡˇ ㄅㄧˋ,"[{""char"": ""手"", ""ruby"": ""ㄕㄡˇ""}, {""char"": ""臂"", ""ruby"": ""ㄅㄧˋ""}]",名詞,身體部位,body,身體部位,easy,1,body_easy,"I know the word ""arm"".",👋,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
school_easy_art_001,art,美術、藝術,ㄇㄟˇ ㄕㄨˋ ㄧˋ ㄕㄨˋ,"[{""char"": ""美"", ""ruby"": ""ㄇㄟˇ""}, {""char"": ""術"", ""ruby"": ""ㄕㄨˋ""}, {""char"": ""藝"", ""ruby"": ""ㄧˋ""}, {""char"": ""術"", ""ruby"": ""ㄕㄨˋ""}]",名詞,學校,school,學校,easy,1,school_easy,"I know the word ""art"".",📚,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
school_easy_ask_001,ask,問,ㄨㄣˋ,"[{""char"": ""問"", ""ruby"": ""ㄨㄣˋ""}]",動詞,學校,school,學校,easy,1,school_easy,"I know the word ""ask"".",📚,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
prepositions_easy_at_001,at,在(某處)、在(時刻),ㄗㄞˋ ㄇㄡˇ ㄔㄨˋ ㄗㄞˋ ㄕˊ ㄎㄜˋ,"[{""char"": ""在"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""某"", ""ruby"": ""ㄇㄡˇ""}, {""char"": ""處"", ""ruby"": ""ㄔㄨˋ""}, {""char"": ""在"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""時"", ""ruby"": ""ㄕˊ""}, {""char"": ""刻"", ""ruby"": ""ㄎㄜˋ""}]",介系詞,介系詞,prepositions,介系詞,easy,1,prepositions_easy,"I know the word ""at"".",↔️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
time_medium_august_001,August,八月,ㄅㄚ ㄩㄝˋ,"[{""char"": ""八"", ""ruby"": ""ㄅㄚ""}, {""char"": ""月"", ""ruby"": ""ㄩㄝˋ""}]",名詞,時間,time,時間,medium,2,time_medium,"I know the word ""August"".",🕒,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
family_easy_aunt_001,aunt,阿姨、姑姑、伯母、舅媽,ㄚ ㄧˊ ㄍㄨ ㄍㄨ ㄅㄛˊ ㄇㄨˇ ㄐㄧㄡˋ ㄇㄚ,"[{""char"": ""阿"", ""ruby"": ""ㄚ""}, {""char"": ""姨"", ""ruby"": ""ㄧˊ""}, {""char"": ""姑"", ""ruby"": ""ㄍㄨ""}, {""char"": ""姑"", ""ruby"": ""ㄍㄨ""}, {""char"": ""伯"", ""ruby"": ""ㄅㄛˊ""}, {""char"": ""母"", ""ruby"": ""ㄇㄨˇ""}, {""char"": ""舅"", ""ruby"": ""ㄐㄧㄡˋ""}, {""char"": ""媽"", ""ruby"": ""ㄇㄚ""}]",名詞,家庭,family,家庭,easy,1,family_easy,"I know the word ""aunt"".",👨‍👩‍👧‍👦,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
others_hard_away_001,away,離開,ㄌㄧˊ ㄎㄞ,"[{""char"": ""離"", ""ruby"": ""ㄌㄧˊ""}, {""char"": ""開"", ""ruby"": ""ㄎㄞ""}]",副詞,其他副詞,others,其他,hard,3,others_hard,"I know the word ""away"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
people_medium_baby_001,baby,嬰兒,ㄧㄥ ㄦˊ,"[{""char"": ""嬰"", ""ruby"": ""ㄧㄥ""}, {""char"": ""兒"", ""ruby"": ""ㄦˊ""}]",名詞,人,people,人物,medium,2,people_medium,"I know the word ""baby"".",🧒,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
places_easy_back_001,back,向後、回原處,ㄒㄧㄤˋ ㄏㄡˋ ㄏㄨㄟˊ ㄩㄢˊ ㄔㄨˋ,"[{""char"": ""向"", ""ruby"": ""ㄒㄧㄤˋ""}, {""char"": ""後"", ""ruby"": ""ㄏㄡˋ""}, {""char"": ""回"", ""ruby"": ""ㄏㄨㄟˊ""}, {""char"": ""原"", ""ruby"": ""ㄩㄢˊ""}, {""char"": ""處"", ""ruby"": ""ㄔㄨˋ""}]",副詞,地點/方位,places,地點/方位,easy,1,places_easy,"I know the word ""back"".",📍,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
body_easy_back_001,back,背,ㄅㄟˋ,"[{""char"": ""背"", ""ruby"": ""ㄅㄟˋ""}]",名詞,身體部位,body,身體部位,easy,1,body_easy,"I know the word ""back"".",👋,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
traits_easy_bad_001,bad,不好的、壞的,ㄅㄨˋ ㄏㄠˇ ㄉㄜ ㄏㄨㄞˋ ㄉㄜ,"[{""char"": ""不"", ""ruby"": ""ㄅㄨˋ""}, {""char"": ""好"", ""ruby"": ""ㄏㄠˇ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}, {""char"": ""壞"", ""ruby"": ""ㄏㄨㄞˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,個性/特點,traits,個性/特點,easy,1,traits_easy,"I know the word ""bad"".",😊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
clothes_easy_bag_001,bag,袋子,ㄉㄞˋ ㄗˇ,"[{""char"": ""袋"", ""ruby"": ""ㄉㄞˋ""}, {""char"": ""子"", ""ruby"": ""ㄗˇ""}]",名詞,衣服/配件,clothes,衣服/配件,easy,1,clothes_easy,"I know the word ""bag"".",👕,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
hobbies_easy_ball_001,ball,球,ㄑㄧㄡˊ,"[{""char"": ""球"", ""ruby"": ""ㄑㄧㄡˊ""}]",名詞,運動/興趣/嗜好,hobbies,運動/興趣,easy,1,hobbies_easy,"I know the word ""ball"".",⚽,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
foods_medium_banana_001,banana,香蕉,ㄒㄧㄤ ㄐㄧㄠ,"[{""char"": ""香"", ""ruby"": ""ㄒㄧㄤ""}, {""char"": ""蕉"", ""ruby"": ""ㄐㄧㄠ""}]",名詞,食物/飲料,foods,食物/飲料,medium,2,foods_medium,"I know the word ""banana"".",🍎,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
places_easy_bank_001,bank,銀行,ㄧㄣˊ ㄒㄧㄥˊ,"[{""char"": ""銀"", ""ruby"": ""ㄧㄣˊ""}, {""char"": ""行"", ""ruby"": ""ㄒㄧㄥˊ""}]",名詞,地點/方位,places,地點/方位,easy,1,places_easy,"I know the word ""bank"".",📍,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
hobbies_hard_baseball_001,baseball,棒球,ㄅㄤˋ ㄑㄧㄡˊ,"[{""char"": ""棒"", ""ruby"": ""ㄅㄤˋ""}, {""char"": ""球"", ""ruby"": ""ㄑㄧㄡˊ""}]",名詞,運動/興趣/嗜好,hobbies,運動/興趣,hard,3,hobbies_hard,"I know the word ""baseball"".",⚽,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
hobbies_hard_basketball_001,basketball,籃球,ㄌㄢˊ ㄑㄧㄡˊ,"[{""char"": ""籃"", ""ruby"": ""ㄌㄢˊ""}, {""char"": ""球"", ""ruby"": ""ㄑㄧㄡˊ""}]",名詞,運動/興趣/嗜好,hobbies,運動/興趣,hard,3,hobbies_hard,"I know the word ""basketball"".",⚽,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
home_hard_bathroom_001,bathroom,浴室,ㄩˋ ㄕˋ,"[{""char"": ""浴"", ""ruby"": ""ㄩˋ""}, {""char"": ""室"", ""ruby"": ""ㄕˋ""}]",名詞,房子/公寓,home,家與房間,hard,3,home_hard,"I know the word ""bathroom"".",🏠,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
auxiliaries_easy_be_001,be,"是 (is, am, are)",ㄕˋ,"[{""char"": ""是"", ""ruby"": ""ㄕˋ""}]",助動詞,be動詞/助動詞,auxiliaries,be/助動詞,easy,1,auxiliaries_easy,"I know the word ""be"".",✅,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
geography_medium_beach_001,beach,海灘,ㄏㄞˇ ㄊㄢ,"[{""char"": ""海"", ""ruby"": ""ㄏㄞˇ""}, {""char"": ""灘"", ""ruby"": ""ㄊㄢ""}]",名詞,地理名詞,geography,地理,medium,2,geography_medium,"I know the word ""beach"".",🌊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
animals_easy_bear_001,bear,熊,ㄒㄩㄥˊ,"[{""char"": ""熊"", ""ruby"": ""ㄒㄩㄥˊ""}]",名詞,動物/昆蟲,animals,動物,easy,1,animals_easy,"I know the word ""bear"".",🐶,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
traits_hard_beautiful_001,beautiful,美麗的、漂亮的,ㄇㄟˇ ㄌㄧˋ ㄉㄜ ㄆㄧㄠˋ ㄌㄧㄤˋ ㄉㄜ,"[{""char"": ""美"", ""ruby"": ""ㄇㄟˇ""}, {""char"": ""麗"", ""ruby"": ""ㄌㄧˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}, {""char"": ""漂"", ""ruby"": ""ㄆㄧㄠˋ""}, {""char"": ""亮"", ""ruby"": ""ㄌㄧㄤˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,個性/特點,traits,個性/特點,hard,3,traits_hard,"I know the word ""beautiful"".",😊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
conjunctions_hard_because_001,because,因為,ㄧㄣ ㄨㄟˋ,"[{""char"": ""因"", ""ruby"": ""ㄧㄣ""}, {""char"": ""為"", ""ruby"": ""ㄨㄟˋ""}]",連接詞,連接詞,conjunctions,連接詞,hard,3,conjunctions_hard,"I know the word ""because"".",🔗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
home_easy_bed_001,bed,床,ㄔㄨㄤˊ,"[{""char"": ""床"", ""ruby"": ""ㄔㄨㄤˊ""}]",名詞,房子/公寓,home,家與房間,easy,1,home_easy,"I know the word ""bed"".",🏠,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
home_hard_bedroom_001,bedroom,臥房,ㄨㄛˋ ㄈㄤˊ,"[{""char"": ""臥"", ""ruby"": ""ㄨㄛˋ""}, {""char"": ""房"", ""ruby"": ""ㄈㄤˊ""}]",名詞,房子/公寓,home,家與房間,hard,3,home_hard,"I know the word ""bedroom"".",🏠,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
animals_easy_bee_001,bee,蜜蜂,ㄇㄧˋ ㄈㄥ,"[{""char"": ""蜜"", ""ruby"": ""ㄇㄧˋ""}, {""char"": ""蜂"", ""ruby"": ""ㄈㄥ""}]",名詞,動物/昆蟲,animals,動物,easy,1,animals_easy,"I know the word ""bee"".",🐶,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
foods_easy_beef_001,beef,牛肉,ㄋㄧㄡˊ ㄖㄡˋ,"[{""char"": ""牛"", ""ruby"": ""ㄋㄧㄡˊ""}, {""char"": ""肉"", ""ruby"": ""ㄖㄡˋ""}]",名詞,食物/飲料,foods,食物/飲料,easy,1,foods_easy,"I know the word ""beef"".",🍎,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
prepositions_hard_before_001,before,在...之前,ㄗㄞˋ ㄓ ㄑㄧㄢˊ,"[{""char"": ""在"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""之"", ""ruby"": ""ㄓ""}, {""char"": ""前"", ""ruby"": ""ㄑㄧㄢˊ""}]","介系詞, 連接詞",介系詞,prepositions,介系詞,hard,3,prepositions_hard,"I know the word ""before"".",↔️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
prepositions_hard_behind_001,behind,在...後面,ㄗㄞˋ ㄏㄡˋ ㄇㄧㄢˋ,"[{""char"": ""在"", ""ruby"": ""ㄗㄞˋ""}, {""char"": ""後"", ""ruby"": ""ㄏㄡˋ""}, {""char"": ""面"", ""ruby"": ""ㄇㄧㄢˋ""}]",介系詞,介系詞,prepositions,介系詞,hard,3,prepositions_hard,"I know the word ""behind"".",↔️,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
transportation_hard_bicycle_001,bicycle,腳踏車 (= bike),ㄐㄧㄠˇ ㄊㄚˋ ㄔㄜ,"[{""char"": ""腳"", ""ruby"": ""ㄐㄧㄠˇ""}, {""char"": ""踏"", ""ruby"": ""ㄊㄚˋ""}, {""char"": ""車"", ""ruby"": ""ㄔㄜ""}]",名詞,運輸,transportation,交通,hard,3,transportation_hard,"I know the word ""bicycle"".",🚗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
sizeMeasurement_easy_big_001,big,大的,ㄉㄚˋ ㄉㄜ,"[{""char"": ""大"", ""ruby"": ""ㄉㄚˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,尺寸/計量,sizeMeasurement,尺寸/計量,easy,1,sizeMeasurement_easy,"I know the word ""big"".",📏,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
transportation_easy_bike_001,bike,腳踏車 (= bicycle),ㄐㄧㄠˇ ㄊㄚˋ ㄔㄜ,"[{""char"": ""腳"", ""ruby"": ""ㄐㄧㄠˇ""}, {""char"": ""踏"", ""ruby"": ""ㄊㄚˋ""}, {""char"": ""車"", ""ruby"": ""ㄔㄜ""}]",名詞,運輸,transportation,交通,easy,1,transportation_easy,"I know the word ""bike"".",🚗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
animals_easy_bird_001,bird,鳥,ㄋㄧㄠˇ,"[{""char"": ""鳥"", ""ruby"": ""ㄋㄧㄠˇ""}]",名詞,動物/昆蟲,animals,動物,easy,1,animals_easy,"I know the word ""bird"".",🐶,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
others_hard_birthday_001,birthday,生日,ㄕㄥ ㄖˋ,"[{""char"": ""生"", ""ruby"": ""ㄕㄥ""}, {""char"": ""日"", ""ruby"": ""ㄖˋ""}]",名詞,其他名詞,others,其他,hard,3,others_hard,"I know the word ""birthday"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
animals_easy_bite_001,bite,咬,ㄧㄠˇ,"[{""char"": ""咬"", ""ruby"": ""ㄧㄠˇ""}]",動詞,動物/昆蟲,animals,動物,easy,1,animals_easy,"I know the word ""bite"".",🐶,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
colors_medium_black_001,black,黑色的,ㄏㄟ ㄙㄜˋ ㄉㄜ,"[{""char"": ""黑"", ""ruby"": ""ㄏㄟ""}, {""char"": ""色"", ""ruby"": ""ㄙㄜˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,顏色,colors,顏色,medium,2,colors_medium,"I know the word ""black"".",🎨,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
school_hard_blackboard_001,blackboard,黑板,ㄏㄟ ㄅㄢˇ,"[{""char"": ""黑"", ""ruby"": ""ㄏㄟ""}, {""char"": ""板"", ""ruby"": ""ㄅㄢˇ""}]",名詞,學校,school,學校,hard,3,school_hard,"I know the word ""blackboard"".",📚,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
colors_easy_blue_001,blue,藍色的,ㄌㄢˊ ㄙㄜˋ ㄉㄜ,"[{""char"": ""藍"", ""ruby"": ""ㄌㄢˊ""}, {""char"": ""色"", ""ruby"": ""ㄙㄜˋ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,顏色,colors,顏色,easy,1,colors_easy,"I know the word ""blue"".",🎨,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
transportation_easy_boat_001,boat,船,ㄔㄨㄢˊ,"[{""char"": ""船"", ""ruby"": ""ㄔㄨㄢˊ""}]",名詞,運輸,transportation,交通,easy,1,transportation_easy,"I know the word ""boat"".",🚗,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
school_easy_book_001,book,書、書本,  ,"[{""char"": ""書"", ""ruby"": """"}, {""char"": ""書"", ""ruby"": """"}, {""char"": ""本"", ""ruby"": """"}]",名詞,學校,school,學校,easy,1,school_easy,"I know the word ""book"".",📚,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音需人工確認
places_hard_bookstore_001,bookstore,書店, ,"[{""char"": ""書"", ""ruby"": """"}, {""char"": ""店"", ""ruby"": """"}]",名詞,地點/方位,places,地點/方位,hard,3,places_hard,"I know the word ""bookstore"".",📍,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音需人工確認
traits_medium_bored_001,bored,覺得無聊的,ㄐㄩㄝˊ ㄉㄜˊ ㄨˊ ㄌㄧㄠˊ ㄉㄜ,"[{""char"": ""覺"", ""ruby"": ""ㄐㄩㄝˊ""}, {""char"": ""得"", ""ruby"": ""ㄉㄜˊ""}, {""char"": ""無"", ""ruby"": ""ㄨˊ""}, {""char"": ""聊"", ""ruby"": ""ㄌㄧㄠˊ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,個性/特點,traits,個性/特點,medium,2,traits_medium,"I know the word ""bored"".",😊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
traits_hard_boring_001,boring,令人無聊的,ㄌㄧㄥˋ ㄖㄣˊ ㄨˊ ㄌㄧㄠˊ ㄉㄜ,"[{""char"": ""令"", ""ruby"": ""ㄌㄧㄥˋ""}, {""char"": ""人"", ""ruby"": ""ㄖㄣˊ""}, {""char"": ""無"", ""ruby"": ""ㄨˊ""}, {""char"": ""聊"", ""ruby"": ""ㄌㄧㄠˊ""}, {""char"": ""的"", ""ruby"": ""ㄉㄜ""}]",形容詞,個性/特點,traits,個性/特點,hard,3,traits_hard,"I know the word ""boring"".",😊,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
numbers_easy_both_001,both,兩個都,ㄌㄧㄤˇ ㄍㄜˋ ㄉㄡ,"[{""char"": ""兩"", ""ruby"": ""ㄌㄧㄤˇ""}, {""char"": ""個"", ""ruby"": ""ㄍㄜˋ""}, {""char"": ""都"", ""ruby"": ""ㄉㄡ""}]",限定詞,數字,numbers,數字,easy,1,numbers_easy,"I know the word ""both"".",🔢,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
others_hard_bottle_001,bottle,瓶子,ㄆㄧㄥˊ ㄗˇ,"[{""char"": ""瓶"", ""ruby"": ""ㄆㄧㄥˊ""}, {""char"": ""子"", ""ruby"": ""ㄗˇ""}]",名詞,其他名詞,others,其他,hard,3,others_hard,"I know the word ""bottle"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
others_easy_box_001,box,箱子,ㄒㄧㄤ ㄗˇ,"[{""char"": ""箱"", ""ruby"": ""ㄒㄧㄤ""}, {""char"": ""子"", ""ruby"": ""ㄗˇ""}]",名詞,其他名詞,others,其他,easy,1,others_easy,"I know the word ""box"".",⭐,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,
people_easy_boy_001,boy,男孩,ㄋㄢˊ ㄏㄞˊ,"[{""char"": ""男"", ""ruby"": ""ㄋㄢˊ""}, {""char"": ""孩"", ""ruby"": ""ㄏㄞˊ""}]",名詞,人,people,人物,easy,1,people_easy,"I know the word ""boy"".",🧒,jim|ethan|ai,jim|ai,GEPT Kids 參考字表,注音可由家長頁自動產生後修正
