id,category,categoryZh,difficulty,difficultyZh,title,unlockRequirement,diamondReward,wordCount,enabledFor
home_easy,home,家與房間,easy,簡單,家與房間・簡單,,1,12,jim|ethan|ai
home_medium,home,家與房間,medium,中等,家與房間・中等,home_easy,1,12,jim|ethan|ai
home_hard,home,家與房間,hard,困難,家與房間・困難,home_medium,1,11,jim|ethan|ai
interjections_easy,interjections,感嘆詞,easy,簡單,感嘆詞・簡單,,1,2,jim|ethan|ai
interjections_medium,interjections,感嘆詞,medium,中等,感嘆詞・中等,interjections_easy,1,2,jim|ethan|ai
interjections_hard,interjections,感嘆詞,hard,困難,感嘆詞・困難,interjections_medium,1,2,jim|ethan|ai
jobs_easy,jobs,工作,easy,簡單,工作・簡單,,1,6,jim|ethan|ai
jobs_medium,jobs,工作,medium,中等,工作・中等,jobs_easy,1,5,jim|ethan|ai
jobs_hard,jobs,工作,hard,困難,工作・困難,jobs_medium,1,5,jim|ethan|ai
money_easy,money,金錢,easy,簡單,金錢・簡單,,1,2,jim|ethan|ai
money_medium,money,金錢,medium,中等,金錢・中等,money_easy,1,1,jim|ethan|ai
money_hard,money,金錢,hard,困難,金錢・困難,money_medium,1,1,jim|ethan|ai
nature_easy,nature,天氣/自然,easy,簡單,天氣/自然・簡單,,1,7,jim|ethan|ai
nature_medium,nature,天氣/自然,medium,中等,天氣/自然・中等,nature_easy,1,7,jim|ethan|ai
nature_hard,nature,天氣/自然,hard,困難,天氣/自然・困難,nature_medium,1,7,jim|ethan|ai
numbers_easy,numbers,數字,easy,簡單,數字・簡單,,1,14,jim|ethan|ai
numbers_medium,numbers,數字,medium,中等,數字・中等,numbers_easy,1,13,jim|ethan|ai
numbers_hard,numbers,數字,hard,困難,數字・困難,numbers_medium,1,13,jim|ethan|ai
others_easy,others,其他,easy,簡單,其他・簡單,,1,39,jim|ethan|ai
others_medium,others,其他,medium,中等,其他・中等,others_easy,1,39,jim|ethan|ai
others_hard,others,其他,hard,困難,其他・困難,others_medium,1,38,jim|ethan|ai
people_easy,people,人物,easy,簡單,人物・簡單,,1,4,jim|ethan|ai
people_medium,people,人物,medium,中等,人物・中等,people_easy,1,3,jim|ethan|ai
people_hard,people,人物,hard,困難,人物・困難,people_medium,1,3,jim|ethan|ai
places_easy,places,地點/方位,easy,簡單,地點/方位・簡單,,1,9,jim|ethan|ai
places_medium,places,地點/方位,medium,中等,地點/方位・中等,places_easy,1,9,jim|ethan|ai
places_hard,places,地點/方位,hard,困難,地點/方位・困難,places_medium,1,9,jim|ethan|ai
prepositions_easy,prepositions,介系詞,easy,簡單,介系詞・簡單,,1,8,jim|ethan|ai
prepositions_medium,prepositions,介系詞,medium,中等,介系詞・中等,prepositions_easy,1,8,jim|ethan|ai
prepositions_hard,prepositions,介系詞,hard,困難,介系詞・困難,prepositions_medium,1,8,jim|ethan|ai
pronouns_easy,pronouns,代名詞,easy,簡單,代名詞・簡單,,1,5,jim|ethan|ai
pronouns_medium,pronouns,代名詞,medium,中等,代名詞・中等,pronouns_easy,1,4,jim|ethan|ai
pronouns_hard,pronouns,代名詞,hard,困難,代名詞・困難,pronouns_medium,1,4,jim|ethan|ai
questionWords_easy,questionWords,疑問詞,easy,簡單,疑問詞・簡單,,1,3,jim|ethan|ai
questionWords_medium,questionWords,疑問詞,medium,中等,疑問詞・中等,questionWords_easy,1,3,jim|ethan|ai
questionWords_hard,questionWords,疑問詞,hard,困難,疑問詞・困難,questionWords_medium,1,2,jim|ethan|ai
school_easy,school,學校,easy,簡單,學校・簡單,,1,14,jim|ethan|ai
school_medium,school,學校,medium,中等,學校・中等,school_easy,1,13,jim|ethan|ai
school_hard,school,學校,hard,困難,學校・困難,school_medium,1,13,jim|ethan|ai
sizeMeasurement_easy,sizeMeasurement,尺寸/計量,easy,簡單,尺寸/計量・簡單,,1,3,jim|ethan|ai
sizeMeasurement_medium,sizeMeasurement,尺寸/計量,medium,中等,尺寸/計量・中等,sizeMeasurement_easy,1,3,jim|ethan|ai
sizeMeasurement_hard,sizeMeasurement,尺寸/計量,hard,困難,尺寸/計量・困難,sizeMeasurement_medium,1,2,jim|ethan|ai
tableware_easy,tableware,餐具,easy,簡單,餐具・簡單,,1,3,jim|ethan|ai
tableware_medium,tableware,餐具,medium,中等,餐具・中等,tableware_easy,1,2,jim|ethan|ai
tableware_hard,tableware,餐具,hard,困難,餐具・困難,tableware_medium,1,2,jim|ethan|ai
time_easy,time,時間,easy,簡單,時間・簡單,,1,14,jim|ethan|ai
time_medium,time,時間,medium,中等,時間・中等,time_easy,1,14,jim|ethan|ai
time_hard,time,時間,hard,困難,時間・困難,time_medium,1,14,jim|ethan|ai
titles_easy,titles,稱謂,easy,簡單,稱謂・簡單,,1,2,jim|ethan|ai
titles_medium,titles,稱謂,medium,中等,稱謂・中等,titles_easy,1,1,jim|ethan|ai
titles_hard,titles,稱謂,hard,困難,稱謂・困難,titles_medium,1,1,jim|ethan|ai
traits_easy,traits,個性/特點,easy,簡單,個性/特點・簡單,,1,8,jim|ethan|ai
traits_medium,traits,個性/特點,medium,中等,個性/特點・中等,traits_easy,1,8,jim|ethan|ai
traits_hard,traits,個性/特點,hard,困難,個性/特點・困難,traits_medium,1,7,jim|ethan|ai
transportation_easy,transportation,交通,easy,簡單,交通・簡單,,1,8,jim|ethan|ai
transportation_medium,transportation,交通,medium,中等,交通・中等,transportation_easy,1,8,jim|ethan|ai
transportation_hard,transportation,交通,hard,困難,交通・困難,transportation_medium,1,7,jim|ethan|ai
